Fecha y hora;Martín García;San Fernando;Buenos Aires;Pilote Norden;La Plata;Atalaya;Oyarvide;San Clemente;Mar del Plata;Puerto Belgrano;Ushuaia
16/09/2026 10:45;1.92;2.00;1.92;1.96;1.72;1.40;1.16;1.00;1.32;3.77;1.46
16/09/2026 09:45;1.92;2.10;2.05;1.96;1.84;1.55;1.37;0.87;1.26;4.00;1.74
16/09/2026 08:45;1.88;2.10;2.12;1.96;1.93;1.69;1.58;0.80;1.14;3.96;1.78
16/09/2026 07:45;1.81;1.97;2.05;2.01;2.05;1.87;1.77;0.78;0.74;3.64;1.65
16/09/2026 06:45;1.77;1.88;1.92;2.04;2.06;1.94;1.82;0.90;0.56;2.72;1.42
16/09/2026 05:45;1.80;1.86;1.85;2.00;2.05;2.01;1.96;1.01;0.57;1.90;1.23
16/09/2026 04:45;1.89;1.95;1.84;1.97;1.99;2.06;2.03;1.21;0.62;0.95;0.95
16/09/2026 03:45;2.02;2.10;1.94;1.94;1.92;1.96;2.07;1.42;0.70;0.61;0.69
16/09/2026 02:45;2.12;2.25;2.07;1.95;1.90;1.92;1.99;1.57;0.80;0.73;0.60
16/09/2026 01:45;2.24;2.42;2.33;2.23;2.01;1.73;1.78;1.70;0.96;1.45;0.58
16/09/2026 00:45;2.25;2.46;2.44;2.23;2.11;1.75;1.70;1.78;1.21;2.55;0.73
15/09/2026 23:45;2.19;2.39;2.48;2.23;2.22;1.84;1.69;1.73;1.35;3.26;0.92
15/09/2026 22:45;2.07;2.29;2.38;2.22;2.26;1.96;1.74;1.67;1.45;3.64;1.08
15/09/2026 21:45;1.89;2.18;2.19;2.15;2.25;2.01;1.86;1.60;1.39;3.82;1.25
15/09/2026 20:45;1.65;1.94;2.03;2.01;2.10;2.07;2.00;1.40;1.51;3.85;1.40
15/09/2026 19:45;1.37;1.76;1.80;1.86;1.99;2.02;2.11;1.40;1.31;3.71;1.35
15/09/2026 18:45;1.14;1.50;1.54;1.66;1.83;1.98;2.17;1.41;1.12;3.18;1.14
15/09/2026 17:45;0.99;1.02;1.21;1.50;1.78;1.93;2.18;1.50;1.22;2.19;0.93
15/09/2026 16:45;0.98;0.85;0.78;1.31;1.36;1.77;2.10;1.60;1.18;1.32;0.66
15/09/2026 15:45;1.03;0.89;0.80;1.07;1.26;1.53;1.94;1.73;1.29;0.92;0.39
15/09/2026 14:45;1.08;0.99;0.89;0.88;0.87;1.24;1.57;1.98;1.43;1.39;0.28
15/09/2026 13:45;1.11;1.13;1.04;0.92;0.86;0.84;1.25;2.05;1.59;2.67;0.33
15/09/2026 12:45;S/D;1.17;1.14;0.98;0.95;0.75;0.96;1.95;1.82;3.38;0.47
15/09/2026 11:45;S/D;1.08;1.14;1.06;1.08;0.88;0.84;1.81;2.03;4.29;0.73
15/09/2026 10:45;S/D;0.99;1.09;1.08;1.15;0.94;0.84;1.68;2.22;4.72;0.96
15/09/2026 09:45;S/D;0.75;0.93;1.04;1.14;1.07;0.94;1.48;2.21;5.11;1.37
15/09/2026 08:45;S/D;0.42;0.73;0.96;1.07;1.13;1.14;1.19;2.03;5.06;1.53
15/09/2026 07:45;0.64;0.20;0.44;0.85;1.02;1.19;1.22;0.95;1.87;4.82;1.53
15/09/2026 06:45;0.65;0.24;0.14;0.74;0.84;1.09;1.22;0.96;1.43;4.35;1.38
15/09/2026 05:45;0.69;0.32;0.16;0.54;0.71;0.99;1.17;1.10;1.23;3.67;1.15
15/09/2026 04:45;0.74;0.40;0.25;0.35;0.44;0.87;1.09;1.16;1.12;2.68;0.91
15/09/2026 03:45;0.79;0.48;0.35;0.32;0.31;0.62;0.99;1.31;1.17;1.69;0.61
15/09/2026 02:45;0.85;0.56;0.45;0.38;0.35;0.32;0.72;1.43;1.23;1.39;0.40
15/09/2026 01:45;0.89;0.66;0.56;S/D;0.42;0.27;0.40;1.42;1.24;1.96;0.32
15/09/2026 00:45;0.93;0.76;0.66;0.56;0.52;0.31;0.28;1.41;1.34;2.83;0.41
14/09/2026 23:45;0.95;0.85;0.80;0.68;0.63;0.41;0.19;1.24;1.43;3.53;0.57
14/09/2026 22:45;0.93;0.89;0.89;S/D;0.73;0.47;0.28;1.12;1.51;3.99;0.80
14/09/2026 21:45;0.88;0.90;0.92;0.85;0.84;0.59;0.43;0.95;1.56;4.21;1.07
14/09/2026 20:45;0.83;0.75;0.86;S/D;0.93;0.78;0.60;0.76;1.48;4.15;1.36
14/09/2026 19:45;0.82;0.49;0.76;S/D;0.98;0.91;0.74;0.32;1.31;4.01;1.47
14/09/2026 18:45;0.84;0.50;0.50;0.82;0.93;0.86;0.83;0.22;0.91;3.67;1.31
14/09/2026 17:45;0.89;0.57;0.45;0.73;0.80;0.88;0.87;0.32;0.59;2.88;1.05
14/09/2026 16:45;0.95;0.66;0.52;0.57;0.63;0.88;0.94;0.47;0.51;1.99;0.81
14/09/2026 15:45;1.01;0.78;0.61;0.55;0.51;0.79;0.95;0.66;0.44;1.17;0.51
14/09/2026 14:45;1.08;0.88;0.74;0.63;0.56;0.52;S/D;0.91;0.51;0.61;0.27
14/09/2026 13:45;1.15;1.00;0.86;0.74;0.65;0.44;0.55;1.04;0.60;0.75;0.15
14/09/2026 12:45;1.19;1.12;1.00;0.85;0.76;0.46;0.38;1.07;0.72;1.36;0.21
14/09/2026 11:45;1.21;1.23;1.15;0.95;0.87;0.57;0.39;1.05;0.90;2.12;0.44
14/09/2026 10:45;1.16;1.27;1.23;1.05;1.01;0.70;0.48;0.97;1.06;2.78;0.75
14/09/2026 09:45;0.96;1.19;1.24;1.13;1.09;0.81;0.64;0.90;1.09;3.24;1.09
14/09/2026 08:45;0.97;1.06;1.15;1.12;1.17;0.96;0.81;0.68;1.04;3.51;1.35
14/09/2026 07:45;0.90;0.81;1.03;1.08;1.16;1.04;0.96;0.49;0.97;3.43;1.53
14/09/2026 06:45;0.83;0.43;0.72;0.97;1.13;1.18;1.08;0.42;0.62;2.87;1.54
14/09/2026 05:45;0.86;0.48;0.40;0.87;0.97;1.10;1.15;0.51;0.34;1.96;1.31
14/09/2026 04:45;0.88;0.54;0.39;0.72;0.82;1.07;1.14;0.66;0.31;1.30;1.12
14/09/2026 03:45;0.94;0.62;0.47;0.51;0.52;0.96;1.14;0.80;0.33;0.68;0.89
14/09/2026 02:45;0.98;0.69;0.56;0.48;0.43;0.77;1.08;0.99;0.35;0.32;0.61
14/09/2026 01:45;1.05;0.76;0.65;0.54;0.49;0.38;0.75;1.19;0.55;0.46;0.38
14/09/2026 00:45;1.10;0.82;0.75;0.65;0.61;0.35;0.41;1.26;0.72;1.21;0.32
13/09/2026 23:45;1.13;0.91;0.80;0.74;0.67;0.44;0.31;1.32;0.92;2.05;0.46
13/09/2026 22:45;1.16;0.97;0.91;0.82;S/D;0.50;0.31;1.17;1.12;2.83;0.68
13/09/2026 21:45;1.16;1.04;0.98;0.87;S/D;0.58;0.43;1.10;1.17;3.32;1.01
13/09/2026 20:45;1.17;1.00;1.00;0.95;S/D;0.71;0.56;0.86;1.32;3.62;1.39
